start_date,title,score
2009-04-05,Fullmetal Alchemist: Brotherhood,9.23
2011-04-06,Steins;Gate,9.11
2011-10-02,Hunter x Hunter (2011),9.11
2016-08-26,Kimi no Na wa.,9.09
2019-04-29,Shingeki no Kyojin Season 3 Part 2,9.07
2015-04-08,Gintama°,9.05
2011-04-04,Gintama',9.04
1988-01-08,Ginga Eiyuu Densetsu,9.03
2017-10-14,3-gatsu no Lion 2nd Season,9.02
2016-09-17,Koe no Katachi,9.01
2012-10-04,Gintama': Enchousen,8.98
2008-10-03,Clannad: After Story,8.97
2006-04-04,Gintama,8.97
2013-07-06,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.95
2017-01-09,Gintama.,8.94
2016-10-08,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.94
2008-04-06,Code Geass: Hangyaku no Lelouch R2,8.93
2017-08-12,Owarimonogatari 2nd Season,8.93
2019-04-06,Kimetsu no Yaiba,8.92
2001-07-20,Sen to Chihiro no Kamikakushi,8.9
2019-01-07,Mob Psycho 100 II,8.89
2017-01-06,Kizumonogatari III: Reiketsu-hen,8.83
2017-07-07,Made in Abyss,8.83
2014-10-10,Shigatsu wa Kimi no Uso,8.83
2015-10-04,Haikyuu!! Second Season,8.82
1998-04-03,Cowboy Bebop,8.81
2017-01-07,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.78
2019-07-08,Vinland Saga,8.78
2000-10-04,Hajime no Ippo,8.77
1997-07-12,Mononoke Hime,8.77
2006-10-06,Code Geass: Hangyaku no Lelouch,8.76
2018-07-09,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,8.76
2013-07-07,Monogatari Series: Second Season,8.76
2014-10-19,Mushishi Zoku Shou 2nd Season,8.76
1999-02-20,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.75
2018-01-08,Gintama.: Shirogane no Tamashii-hen,8.74
2019-06-15,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.74
2018-10-06,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.73
2014-04-05,Mushishi Zoku Shou,8.72
1999-06-30,Great Teacher Onizuka,8.71
2004-11-20,Howl no Ugoku Shiro,8.71
2005-10-23,Mushishi,8.71
2012-07-21,Ookami Kodomo no Ame to Yuki,8.7
2007-04-01,Tengen Toppa Gurren Lagann,8.7
2009-01-07,Hajime no Ippo: New Challenger,8.69
2004-04-07,Monster,8.69
2012-01-03,Natsume Yuujinchou Shi,8.69
2019-01-10,Yakusoku no Neverland,8.69
2017-04-12,Natsume Yuujinchou Roku,8.68
2015-10-05,One Punch Man,8.68
2010-02-06,Suzumiya Haruhi no Shoushitsu,8.68
2019-07-05,Dr. Stone,8.49
2006-10-04,Death Note,8.65
2019-01-12,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,8.65
2016-08-19,Kizumonogatari II: Nekketsu-hen,8.64
2012-04-08,Fate/Zero 2nd Season,8.62
2014-04-06,Haikyuu!!,8.62
2013-10-06,Hajime no Ippo: Rising,8.62
2011-07-05,Natsume Yuujinchou San,8.62
2014-04-11,Ping Pong the Animation,8.62
2018-01-02,Sora yori mo Tooi Basho,8.62
2018-01-11,Violet Evergarden,8.62
2010-04-23,Yojouhan Shinwa Taikei,8.62
2012-10-06,Bakuman. 3rd Season,8.61
2015-05-16,Mushishi Zoku Shou: Suzu no Shizuku,8.61
2016-10-05,Natsume Yuujinchou Go,8.61
2016-01-08,Ansatsu Kyoushitsu 2nd Season,8.6
2017-04-01,Boku no Hero Academia 2nd Season,8.6
2016-04-02,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.6
2009-01-06,Zoku Natsume Yuujinchou,8.6
2018-09-01,Kimi no Suizou wo Tabetai,8.59
2008-08-16,Kara no Kyoukai 5: Mujun Rasen,8.58
2016-01-09,Shouwa Genroku Rakugo Shinjuu,8.59
2009-04-22,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.58
2014-01-04,Mushishi: Hihamukage,8.57
2018-04-07,Boku no Hero Academia 3rd Season,8.56
2015-01-10,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,8.56
2018-01-17,Saiki Kusuo no Ψ-nan 2,8.56
2019-08-30,Kono Subarashii Sekai ni Shukufuku wo!: Kurenai Densetsu,8.56
2019-07-19,Tenki no Ko,8.56
2018-11-10,Zoku Owarimonogatari,8.55
2010-04-07,Rainbow: Nisha Rokubou no Shichinin,8.54
2018-04-12,Steins;Gate 0,8.54
1988-04-16,Hotaru no Haka,8.53
2018-07-09,Mo Dao Zu Shi,8.53
1999-10-20,One Piece,8.53
1993-10-16,Slam Dunk,8.53
2013-04-20,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8.53
2004-01-01,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.52
2017-10-02,Gintama.: Porori-hen,8.51
2016-07-11,Mob Psycho 100,8.51
1997-07-19,Neon Genesis Evangelion: The End of Evangelion,8.51
2017-07-15,No Game No Life: Zero,8.51
2011-04-15,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.5
2008-01-08,Aria The Origination,8.5
2010-04-24,Gintama Movie 1: Shinyaku Benizakura-hen,8.5
2011-04-03,Nichijou,8.5
2016-07-04,Saiki Kusuo no Ψ-nan,8.5
2004-05-20,Samurai Champloo,8.5
2016-01-08,Boku dake ga Inai Machi,8.49
